1.12e+04	2.91e+04	4.7e+04	6.5e+04	8.29e+04	1.01e+05	1.19e+05	1.37e+05	
1.15e+04	3e+04	4.86e+04	6.72e+04	8.57e+04	1.04e+05	1.23e+05	1.41e+05	
1.18e+04	3.1e+04	5.02e+04	6.94e+04	8.86e+04	1.08e+05	1.27e+05	1.46e+05	
1.2e+04	3.19e+04	5.17e+04	7.16e+04	9.14e+04	1.11e+05	1.31e+05	1.51e+05	
1.23e+04	3.28e+04	5.33e+04	7.38e+04	9.42e+04	1.15e+05	1.35e+05	1.56e+05	
1.26e+04	3.37e+04	5.48e+04	7.6e+04	9.71e+04	1.18e+05	1.39e+05	1.6e+05	
1.29e+04	3.46e+04	5.64e+04	7.82e+04	9.99e+04	1.22e+05	1.43e+05	1.65e+05	
1.32e+04	3.56e+04	5.8e+04	8.04e+04	1.03e+05	1.25e+05	1.48e+05	1.7e+05	


